numberOfVersionsUntil:;numberOfFixesUntil:;numberOfRefactoringsUntil:;numberOfAuthorsUntil:;linesAddedUntil:;maxLinesAddedUntil:;avgLinesAddedUntil:;linesRemovedUntil:;maxLinesRemovedUntil:;avgLinesRemovedUntil:;ageWithRespectTo:;weightedAgeWithRespectTo:;predictedbugs;bugs
17;4;0;5;112;48;658.824;120;48;705.882;367;517.564;0.01;0
21;5;0;5;161;72;766.667;178;72;847.619;367;584.667;0;0
118;13;0;9;2331;412;197.542;1959;412;166.017;367;803.105;0.56;0
32;5;0;5;256;81;8;253;81;790.625;367;132.693;0.04;0
32;5;0;5;183;57;571.875;150;57;46.875;367;902.795;0.07;0
11;4;0;4;52;12;472.727;40;9;363.636;322.714;298.517;0.03;0
150;14;0;9;3997;567;266.467;3783;567;25.22;367;141.094;2.01;6
73;5;0;7;777;178;106.438;674;178;923.288;367;735.067;0.36;0
47;6;0;7;515;168;109.574;429;168;912.766;367;100.545;0.11;0
22;6;0;4;506;120;23;625;208;284.091;217;133.701;0.32;0
48;6;0;7;1007;298;209.792;963;298;200.625;367;878.779;0.17;0
46;7;0;9;293;35;636.956;206;17;447.826;239.143;654.832;0.33;0
68;16;0;8;1930;237;283.824;1503;237;221.029;367;129.777;0.67;0
709;69;0;15;38598;2955;544.401;34292;2942;483.667;367;100.595;4.99;4
30;7;0;8;221;85;736.667;211;67;703.333;322.714;901.467;0.13;1
14;4;0;4;101;50;721.429;100;50;714.286;367;528.416;0;0
41;4;0;7;960;285;234.146;1208;297;294.634;367;643.007;0.06;0
23;8;0;5;177;63;769.565;41;7;178.261;229.714;159.927;0.13;0
9;1;0;3;28;8;311.111;19;6;211.111;169.571;353.418;0.09;0
45;11;0;7;337;78;748.889;213;78;473.333;367;122.181;0.04;2
35;8;0;9;383;96;109.429;300;68;857.143;228.143;270.653;0.22;1
48;6;0;7;900;257;18.75;407;47;847.917;229;478.178;0.39;1
41;17;1;8;485;75;118.293;120;43;292.683;222.714;717.756;0.23;0
46;9;0;5;5807;1581;126.239;6763;2499;147.022;367;769.932;0.6;0
46;15;0;8;830;189;180.435;431;189;936.956;333.143;993.661;0.18;0
4;1;0;2;80;40;20;22;11;5.5;150.714;179.286;0.11;0
104;11;0;7;1487;369;142.981;1299;369;124.904;367;861.225;0.47;0
33;6;0;6;192;67;581.818;180;67;545.455;367;727.991;0.01;0
1;0;0;1;0;0;0;0;0;0;871.429;0;0.02119;0
198;13;0;9;3617;488;182.677;3066;488;154.848;367;105.595;1.35;3
