classname,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
org::eclipse::jdt::internal::core::SourceRefElementInfo,17,4,0,5,112.0,48.0,658.824,120.0,48.0,705.882,-8.0,4.0,-0.470588,367.0,517.564,0,0,0,0,0
org::eclipse::jdt::internal::core::SourceFieldElementInfo,21,5,0,5,161.0,72.0,766.667,178.0,72.0,847.619,-17.0,5.0,-0.809524,367.0,584.667,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ConditionalExpression,118,13,0,9,2331.0,412.0,197.542,1959.0,412.0,166.017,372.0,128.0,315.254,367.0,803.105,0,0,0,0,0
org::eclipse::jdt::internal::core::JarEntryFile,32,5,0,5,256.0,81.0,8.0,253.0,81.0,790.625,3.0,22.0,0.09375,367.0,132.693,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberAccess,32,5,0,5,183.0,57.0,571.875,150.0,57.0,46.875,33.0,19.0,103.125,367.0,902.795,0,0,0,0,0
org::eclipse::jdt::internal::core::util::ExceptionTableEntry,11,4,0,4,52.0,12.0,472.727,40.0,9.0,363.636,12.0,6.0,109.091,322.714,298.517,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::FieldReference,150,14,0,9,3997.0,567.0,266.467,3783.0,567.0,25.22,214.0,114.0,142.667,367.0,141.094,6,0,0,0,0
org::eclipse::jdt::internal::core::CommitWorkingCopyOperation,73,5,0,7,777.0,178.0,106.438,674.0,178.0,923.288,103.0,41.0,141.096,367.0,735.067,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::RecoveredField,47,6,0,7,515.0,168.0,109.574,429.0,168.0,912.766,86.0,60.0,182.979,367.0,100.545,0,0,0,0,0
org::eclipse::jdt::internal::core::UserLibraryManager,22,6,0,4,506.0,120.0,23.0,625.0,208.0,284.091,-119.0,12.0,-540.909,217.0,133.701,0,0,0,0,0
org::eclipse::jdt::internal::core::SourceTypeElementInfo,48,6,0,7,1007.0,298.0,209.792,963.0,298.0,200.625,44.0,51.0,0.916667,367.0,878.779,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::JavadocAllocationExpression,46,7,0,9,293.0,35.0,636.956,206.0,17.0,447.826,87.0,35.0,18.913,239.143,654.832,0,0,0,0,0
org::eclipse::jdt::internal::compiler::classfmt::MethodInfo,68,16,0,8,1930.0,237.0,283.824,1503.0,237.0,221.029,427.0,134.0,627.941,367.0,129.777,0,0,0,0,0
org::eclipse::jdt::core::JavaCore,709,69,0,15,38598.0,2955.0,544.401,34292.0,2942.0,483.667,4306.0,336.0,607.334,367.0,100.595,4,1,0,0,0
org::eclipse::jdt::internal::core::util::CodeAttribute,30,7,0,8,221.0,85.0,736.667,211.0,67.0,703.333,10.0,19.0,0.333333,322.714,901.467,1,0,0,0,0
org::eclipse::jdt::internal::core::eval::GlobalVariableWrapper,14,4,0,4,101.0,50.0,721.429,100.0,50.0,714.286,1.0,5.0,0.0714286,367.0,528.416,0,0,0,0,0
org::eclipse::jdt::internal::compiler::classfmt::ClassFileStruct,41,4,0,7,960.0,285.0,234.146,1208.0,297.0,294.634,-248.0,7.0,-604.878,367.0,643.007,0,0,0,0,0
org::eclipse::jdt::core::dom::TextElement,23,8,0,5,177.0,63.0,769.565,41.0,7.0,178.261,136.0,62.0,591.304,229.714,159.927,0,0,0,0,0
org::eclipse::jdt::internal::codeassist::select::SelectionJavadocParser,9,1,0,3,28.0,8.0,311.111,19.0,6.0,211.111,9.0,2.0,1.0,169.571,353.418,0,0,0,0,0
org::eclipse::jdt::internal::core::BinaryField,45,11,0,7,337.0,78.0,748.889,213.0,78.0,473.333,124.0,35.0,275.556,367.0,122.181,2,0,0,0,0
org::eclipse::jdt::internal::core::util::CommentRecorderParser,35,8,0,9,383.0,96.0,109.429,300.0,68.0,857.143,83.0,28.0,237.143,228.143,270.653,1,0,0,0,0
org::eclipse::jdt::core::dom::DocCommentParser,48,6,0,7,900.0,257.0,18.75,407.0,47.0,847.917,493.0,223.0,102.708,229.0,478.178,1,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::MemberValuePair,41,17,1,8,485.0,75.0,118.293,120.0,43.0,292.683,365.0,75.0,890.244,222.714,717.756,0,0,0,0,0
org::eclipse::jdt::internal::compiler::impl::Constant,46,9,0,5,5807.0,1581.0,126.239,6763.0,2499.0,147.022,-956.0,147.0,-207.826,367.0,769.932,0,0,0,0,0
org::eclipse::jdt::core::dom::MethodInvocation,46,15,0,8,830.0,189.0,180.435,431.0,189.0,936.956,399.0,91.0,867.391,333.143,993.661,0,0,0,0,0
org::eclipse::jdt::internal::core::util::StackMapTableAttribute,4,1,0,2,80.0,40.0,20.0,22.0,11.0,5.5,58.0,29.0,14.5,150.714,179.286,0,0,0,0,0
org::eclipse::jdt::internal::core::PackageFragment,104,11,0,7,1487.0,369.0,142.981,1299.0,369.0,124.904,188.0,39.0,180.769,367.0,861.225,0,0,0,0,0
