classname,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs 
org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder,65,4,0,8,608.0,158.0,935.385,566.0,158.0,870.769,42.0,15.0,0.646154,350.571,630.609,0,0,0,0,0
org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry,2,0,0,2,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,117.714,0,0,0,0,0,0
org::eclipse::jdt::internal::compiler::ast::ASTNode,120,10,0,12,1361.0,99.0,113.417,768.0,77.0,6.4,593.0,66.0,494.167,238.429,104.204,1,0,0,0,0
org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding,28,4,0,5,138.0,39.0,492.857,123.0,39.0,439.286,15.0,23.0,0.535714,367.0,112.678,0,0,0,0,0
org::eclipse::jdt::internal::eval::CodeSnippetParser,93,17,0,8,1870.0,684.0,201.075,1881.0,692.0,202.258,-11.0,18.0,-0.11828,367.0,549.702,0,0,0,0,0
org::eclipse::jdt::internal::formatter::Location,16,5,0,5,37.0,6.0,23.125,17.0,6.0,10.625,20.0,4.0,1.25,264.857,488.224,0,0,0,0,0
org::eclipse::jdt::core::dom::SingleMemberAnnotation,30,5,0,5,535.0,142.0,178.333,74.0,13.0,246.667,461.0,142.0,153.667,226.0,32.259,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::NLSTag,7,6,0,2,14.0,7.0,2.0,29.0,27.0,414.286,-15.0,4.0,-214.286,150.714,121.531,0,0,0,0,0
org::eclipse::jdt::internal::compiler::parser::RecoveredBlock,52,5,0,7,1075.0,343.0,206.731,889.0,343.0,170.962,186.0,68.0,357.692,367.0,811.875,0,0,0,0,0
org::eclipse::jdt::internal::core::CompilationUnitElementInfo,23,5,0,6,122.0,42.0,530.435,138.0,42.0,6.0,-16.0,16.0,-0.695652,367.0,844.309,0,0,0,0,0
