contains_bug,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,glm_probability,rf_probability
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,4.0,6.207916666666667,1.0,200.0,20.172962335147695,39.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,9.0,2.0,186.0,True,4.0,7.784537037037037,1.0,199.0,19.82805675763343,125.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,3.0,375.0,True,4.0,6.086990740740741,1.0,198.0,22.36835537968262,124.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,2.0,1.0,91.0,True,2.0,145.97917824074074,1.0,197.0,22.171655315564315,123.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,4.0,3.758298611111111,1.0,196.0,21.171655315564315,38.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,358.0,True,5.0,3.983344907407407,1.0,195.0,20.171655315564315,122.0,0.0,0.0
False,1.0,5.0,5.0,2.321928094887362,5.0,5.0,336.4,True,5.0,4.076782407407407,1.0,194.0,19.33477272193114,121.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,3.0,0.0,470.0,True,4.0,45.57158564814815,1.0,10.0,1.6914172783738,6.0,0.0,0.0
False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True,2.0,43.45326388888889,1.0,9.0,0.6914172783738,2.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,2.0,1.0,2.0,2.0,95.5,False,4.0,0.8830671296296296,1.0,193.0,18.528942682405447,37.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,6.0,411.0,False,5.0,13.835439814814816,1.0,166.0,23.94275915899957,65.0,0.0,0.0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,1.0,1.0,1.0,0.0,6.0,6.0,105.0,False,1.0,0.0059375,1.0,165.0,22.960291626532033,47.0,0.0,0.0
False,3.0,8.0,11.0,2.767617226454612,78.0,36.0,165.9090909090909,False,5.0,0.046868686868686865,6.0,164.0,21.960291626532033,63.333333333333336,0.0,0.0
False,2.0,3.0,5.0,1.7248605841590179,318.0,12.0,111.0,False,5.0,31.418754629629632,3.0,163.0,20.962672578912986,62.0,0.0,0.0
False,2.0,2.0,2.0,0.9784493292686189,25.0,33.0,540.5,True,5.0,0.046550925925925926,2.0,162.0,19.962672578912986,61.0,0.0,0.0
False,1.0,1.0,1.0,0.0,0.0,4.0,31.0,False,1.0,0.01650462962962963,1.0,161.0,18.962672578912986,43.0,0.0,0.0
